"Story","Title","Result","Date","Stability","Duration (s)"
"WEB","HU 13 | TS 13.1 | TC 13.1.10 | Título Home","SUCCESS","2022-04-05T17:03:26.9154661+02:00[Europe/Madrid]","0.0","10.56"
"WEB","HU 13 | TS 13.1 | TC 13.1.14 | mostrar Home desde Chrome","SUCCESS","2022-04-05T17:03:38.0780481+02:00[Europe/Madrid]","0.0","3.59"
